descricao;endereco;area;quartos;suites;wc;vagas;valor;condominio;lat;lon;weblink
Apartamento ensolarado e com linda vista pro Parque Linear do Rio Barigui, contendo:- 3 quartos- 53 m²- 1 vaga em garagem coberta- Localizado no 4⁰ andar- Armários embutidos na cozinha e quartos- Teto com gesso e iluminação personalizada- Face oesteCondomínio Morada do Sol:- Portaria 24h,- Quadra poliesportiva,- Academia ao ar livre- Salões de Festa- Ao lado do Terminal do Fazendinha- Próximo a supermercados, farmácias, Restaurante Popular, escolas e com muito comércio na região.- Aceita financiamento imobiliário.Entre em contato no Whatsapp ( 4 1 ) 9 8 8 5 3 - 4 2 1 4 para mais informações.Atenção: no momento não temos interesse em intermediação imobiliária. Obrigada pela compreensão.;Rua Alfredo José Pinto;53;3;-;1;1;185000;392;-25.474533;-49.326716;https://www.vivareal.com.br/imovel/apartamento-3-quartos-fazendinha-bairros-curitiba-com-garagem-53m2-venda-RS185000-id-2570851862/
Apartamento recém reformado, decorado, ensolarado e com vista para as faces norte/sul/oeste.Suíte: papel de parede, e armário conversível com opção de prateleiras ou cabides, o banheiro da suite conta com box blindex até o teto e toalheiro térmico, armário embaixo da pia e na parede, com espelhos.Quarto/Home Office : Cama de solteiro que é possível transformar em cama de casal ou em duas camas de solteiro.Cozinha: conta com armários embutidos, pia com torneira e filtro de agua, cuba moderna e lixeira embutida. o apartamento possui aquecimento a gás em todas as torneiras e saída de agua quente para a maquina de lavar roupas.Esquadrias em PVC com excelente isolamento acústico e térmico.Garagem com armário em alumínio para deposito.Porta com isolamento acústico na entrada do apartamento.Automação por comando de voz em todos os ambientes.Janelas em todos os ambientes, a sala de jantar/estar possui ventilação cruzada.Prédio de 4 andares, não possui portaria, possui elevador, salão festas com forno para pizza, churrasqueira e terraço.Próximo a mercado, farmácia, restaurantes, escolas, hospital.;Rua Raquel Prado;140;2;1;2;2;699900;335;-25.420442;-49.286421;https://www.vivareal.com.br/imovel/apartamento-2-quartos-merces-bairros-curitiba-com-garagem-80m2-venda-RS699900-id-2573912599/
"Condomínio The Square. Apartamento face norte, décimo oitavo andar. Móveis planejados de alto padrão em todos os cômodos, com sistema de amortecimento e ferragens blum, sistema de ar condicionado instalado, piso vinílico na sala e quartos, porcelanato PortoBello na cozinha, banheiros e sacada.Localizado no Edifício The Square, no Portão. Excelente localização, próximo a comércios, mercado, bancos, farmácias, escolas, padaria, transporte público. Fácil acesso ao centro. O condomínio oferece: Bicicletário; Elevador; Academia; Brinquedoteca; Playground; Salão de festas; Salão de jogos; Espaço gourmet; Churrasqueira; Pizza Place; Sauna; Spa; Quadra poliesportiva; Portão eletrônico e portaria 24h. *Possibilidade de negociação direto com o proprietário, não aceitamos imóveis ou outros bens como parte do pagamento.";Rua Professora Doracy Cezzarino;-;3;3;5;2;1350000;800;-25.468606;-49.295274;https://www.vivareal.com.br/imovel/apartamento-3-quartos-portao-bairros-curitiba-com-garagem-126m2-venda-RS1350000-id-2574760858/
Apartamento com sacada grande, muito aconchegante com ótima localização, próximo ao shopping Palladium, divisão de muro com o hipermercado Condor e a apenas 100m do Hospital do Trabalhador. Inteiro mobiliado e decorado. O prédio ainda oferece toda a estrutura de um Condominio clube com salas para reuniões, academia, piscina, churrasqueiras, cinema, playgrond, campo de futebol, etc... Na cobertura uma linda vista em 360° de toda a cidade.;Rua Visconde do Serro Frio;-;3;1;2;2;580000;590;-25.486276;-49.294897;https://www.vivareal.com.br/imovel/apartamento-3-quartos-novo-mundo-bairros-curitiba-com-garagem-107m2-venda-RS580000-id-2585922652/
Unidade exclusiva de revenda, melhor custo-benefício no Santa Quitéria, oportunidade ideal para quem procura conforto e segurança numa excelente localização. Apartamento 3 Dormitórios com 1 vaga, localizado no Condomínio Villagio Genova. O imóvel possui janelas amplas, bem iluminado, sala de estar, sala de jantar, cozinha americana, banheiro com box blindex e janela, área de serviço, garagem coberta. O empreendimento possui portaria 24 horas, 4 salões de festas com churrasqueira, academia, pista de caminhada, área verde, horta, quadra poliesportiva, espaço pet, ciclovia infantil, playground, brinquedoteca, bosque nativo, mini mercado Market4u, sistema de monitoramento por câmeras e segurança privada. Imóvel quitado, permite financiamento bancário e uso de FGTS. Localização próximo a escolas, faculdades, unidades de saúde, mercados, panificadoras, pizzarias, farmácias e lojas em geral. Condomínio: 300 reais + água + gás + fundo de reserva + fundo de obras* Os móveis das fotos não estão inclusos no valor de venda. Favor consultar o que está incluído.;Rua Rezala Simão;-;3;-;1;1;230000;300;-25.467083;-49.318889;https://www.vivareal.com.br/imovel/apartamento-3-quartos-santa-quiteria-bairros-curitiba-com-garagem-59m2-venda-RS230000-id-2563448271/
"Prático, Conveniente e Moderno no ❤️ de Curitiba! O apartamento fica em um condomínio ""vintage"" de Curitiba, e foi inteiramente reformado e mobiliado. A vizinhança é tranquila.Perfeito para estudantes ou famílias de até 4 pessoas. O apartamento no bairro Cristo Rei possui aproximadamente 70 metros quadrados com 2 quartos, 1 banheiro, sala com 2 ambientes e garagem compartilhada.Móveis planejados em todo o apartamento (itens de decoração e eletrodomésticos apresentados nas fotos não estão incluídos). Cristo Rei é um bairro muito Central. Uma mistura de calmaria residencial e movimento urbano. Há por perto restaurantes, cafés e supermercados. Caminhando por 10 minutos você chega ao símbolo de Curitiba: o Jardim Botânico, que está sendo reformado lindamente para encantar ainda mais os turistas.O apartamento está há uma quadra dos hospitais referência Cajuru e Marcelino Champagnat. A rodoviária fica muito próximo e o aeroporto está há 25 minutos de carro.Por ser muito central, o transporte público é bastante fácil no local. Pegue o ônibus na estação tubo e vá para qualquer parte da cidade. Ciclovia passa ao lado e há um ponto de táxi bem pertinho.";Rua Poeta Francisco Ferreira Leite;-;2;-;1;1;295000;430;-25.435913;-49.243818;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cristo-rei-bairros-curitiba-com-garagem-70m2-venda-RS295000-id-2557086354/
Apartamento com área interna de 74 m², área total de 101,6 m², Garagem numerada individual, 3 quartos, sendo 1 suite.Sala estar, jantar e cozinha conjugadas, lavanderia.Sacada com churraqueira.Prédio entregua a 6 anos,conta com uma estrutura moderna, tendo salão de festas com espaço Gourmet, academia de musculação, espaço zen, espaço kids e salão de jogos.Muito próximo ao Parque Barigui, Shopping Barigui e Universidade Tuiuti.;Rua Anna Gbur Barcik;101;3;1;2;1;449990;380;-25.424015;-49.324834;https://www.vivareal.com.br/imovel/apartamento-3-quartos-santo-inacio-bairros-curitiba-com-garagem-74m2-venda-RS449990-id-2569214395/
O apartamento no bairro Água Verde tem 105 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros;Rua Dom Pedro I;-;3;1;2;1;580000;437;-25.460558;-49.278776;https://www.vivareal.com.br/imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-105m2-venda-RS580000-id-2559832290/
"Excelente apto garden com 66m² de área útil em localização privilegiada no bairro, conservação impecável, piso laminado, churrasqueira a carvão na sacada, planta original com 03 dorms (atualmente com 02 dormitórios, porém fácil reversão) suíte ampla, sala em ""L"", cozinha, área de serviços e 1 vaga demarcada de estacionamento.Condominio com portaria 24hrs, salão de festas, quadra de areia, playground.";Rua Deputado Waldemiro Pedroso;-;3;1;2;1;269990;-;-25.492857;-49.304465;https://www.vivareal.com.br/imovel/apartamento-3-quartos-novo-mundo-bairros-curitiba-com-garagem-66m2-venda-RS269990-id-2571354945/
Lindo apartamento em região nobre Água Verde/Batel. Num raio de 3 quadras, inúmeros restaurantes, bancos, hospitais, 2 super mercados, vida noturna da Batel, academias, Clube Curitibano e vasto comércio. Rua totalmente arborizada. Prédio novo, apartamento alto (17 andar), arejado, silencioso e novo. Móveis planejados. Condomínio com estrutura completa, academa, piscina, saunas, churrasqueiras. Segurança 24hrs. Ao lado da Pça do Japão. Direto com o proprietário.;Avenida Iguaçu;-;3;1;3;2;650000;1000;-25.449608;-49.289398;https://www.vivareal.com.br/imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-102m2-venda-RS650000-id-2477728884/
